"x","y","dist","rel.angle","behav_fine","behav_coarse","dt","id","obs","time1","SL","TA","tseg"
-77.9089313409019,-173.662768631082,3.61143193187308,-3.1047161248941,"Encamped","Encamped",3600,1,1262,1262,3,1,4
-77.5170743927143,-172.023911508398,1.68505327405797,3.11235724524376,"Encamped","Encamped",3600,1,1263,1263,2,8,4
-77.9407044667194,-173.708054534536,1.73660593459992,3.1298621011643,"Encamped","Encamped",3600,1,1264,1264,2,8,4
-75.3170483066357,-175.494673208887,3.1742050869289,1.21938787997857,"Encamped","Encamped",3600,1,1265,1265,3,6,4
-75.3805335457356,-175.082794394847,0.416742766029888,2.3215649248935,"Encamped","Encamped",3600,1,1266,1266,1,7,4
-77.1341203223025,-162.962618409362,12.2463763008528,-0.00924598421167921,"Transit","Encamped",3600,1,1267,1267,5,4,4
-72.1771771397417,-154.888766694799,9.47408925564269,-0.694300137659281,"Transit","Encamped",3600,1,1268,1268,4,4,4
-73.7346771600874,-157.282967922965,2.85622230127978,3.11545878420223,"Encamped","Encamped",3600,1,1269,1269,3,8,4
-80.5436511959056,-157.015588178031,6.81422184467508,-1.03329708770728,"Transit","Encamped",3600,1,1270,1270,3,3,4
-78.4646292394895,-157.107386903787,2.08104764513228,3.13671511193777,"Encamped","Encamped",3600,1,1271,1271,2,8,4
-79.8012860593567,-157.338168306016,1.35643337827996,-2.92649643720213,"Encamped","Encamped",3600,1,1272,1272,2,1,4
-77.642912107708,-156.801098810129,2.22419013543536,-3.06868501342302,"Encamped","Encamped",3600,1,1273,1273,2,1,4
-78.0372798529419,-159.243454092986,2.47398974253745,-1.97476257463582,"Encamped","Encamped",3600,1,1274,1274,2,2,4
-78.1022784515122,-156.608962351017,2.63529344785722,-2.95683700470279,"Encamped","Encamped",3600,1,1275,1275,3,1,4
-77.6319528758459,-159.65174491184,3.07891731937938,-3.01290258821137,"Encamped","Encamped",3600,1,1276,1276,3,1,4
-77.9874896410508,-157.724846223848,1.95942464647111,-3.11248958048277,"Encamped","Encamped",3600,1,1277,1277,2,1,4
-80.9076809685099,-147.592345073699,10.5449085793446,0.0981363769177406,"Transit","Encamped",3600,1,1278,1278,4,5,4
-86.6044881942773,-146.240943101044,5.85490391545846,1.0572840312933,"Transit","Encamped",3600,1,1279,1279,3,6,4
-84.9085488849677,-147.144888179868,1.92180301966423,2.88480617564308,"Encamped","Encamped",3600,1,1280,1280,2,8,4
-85.0031027827309,-144.60143771212,2.54520740244601,2.09765676181991,"Encamped","Encamped",3600,1,1281,1281,2,7,4
-86.8595166247089,-146.36359933849,2.559587066333,2.2929952731581,"Encamped","Encamped",3600,1,1282,1282,2,7,4
-84.4844685615356,-145.642924515138,2.48198015773661,2.67684137458937,"Encamped","Encamped",3600,1,1283,1283,2,8,4
