,x,y,SL,TA,behav_fine,behav_coarse,HMM state,BCPA fine cluster,BCPA coarse cluster
4015,-241.5842011,-168.0221367,12.35071915,0.25046528,Transit,Transit,Transit,76,31
4016,-249.9318363,-165.4896289,8.723337066,0.128251425,Transit,Transit,Transit,76,31
4017,-257.0624315,-162.7259726,7.647429857,-0.075196365,Transit,Transit,Transit,76,31
4018,-250.5170233,-150.3546674,13.99612662,-1.68768483,Transit,Transit,Transit,76,31
4019,-252.4004333,-141.803773,8.755856771,0.703437119,Transit,Transit,Transit,76,31
4020,-257.9023084,-131.3171589,11.8422846,0.266380863,Transit,Transit,Transit,76,31
4021,-263.154261,-125.7601083,7.646163559,0.274001328,Transit,Transit,Transit,76,31
4022,-270.2800357,-122.9340602,7.665716766,0.436049175,Transit,Transit,Transit,76,31
4023,-267.588427,-113.1316218,10.16526214,-1.461209471,Transit,Transit,Transit,76,31
4024,-262.8537607,-107.2842242,7.52390354,-0.412649673,Transit,Transit,Transit,76,31
4025,-258.1854146,-105.1953762,5.114366124,-0.469435026,Transit,Transit,Transit,76,31
4026,-250.7685705,-102.2629865,7.975492834,-0.044222995,Transit,Transit,Transit,76,31
4027,-242.7693949,-99.54270768,8.449066654,-0.048706546,Transit,Transit,Transit,76,31
4028,-230.3005321,-95.78730207,13.02212003,-0.035259685,Transit,Transit,Transit,76,31
4029,-224.4690806,-87.88125132,9.824024916,0.642741307,Transit,Transit,Transit,76,31
4030,-226.6364575,-82.00306743,6.265027421,0.988763074,Transit,Transit,Transit,76,31
4031,-234.0758331,-87.16014753,9.052059686,1.823703934,Transit,Transit,Transit,76,31
4032,-240.3881822,-90.49471914,7.138985866,-0.12015671,Transit,Transit,Transit,76,31
4033,-247.3102077,-100.5026032,12.16849128,0.479691074,Transit,Transit,Transit,76,31
4034,-254.681663,-110.4207766,12.35752878,-0.034047518,Transit,Transit,Transit,76,31
4035,-265.8932855,-117.1344532,13.06805007,-0.392096996,Transit,Transit,Transit,76,31
4036,-268.3294893,-124.3727872,7.637314171,0.7065889,Transit,Transit,Transit,76,31
4037,-274.20963,-132.696384,10.1910902,-0.290376135,Transit,Transit,Transit,77,31
4038,-280.9485456,-145.1419402,14.1529096,0.118764624,Transit,Transit,Transit,77,31
4039,-267.619925,-149.0280603,13.88358954,1.783370571,Transit,Transit,Transit,77,31
4040,-260.2734011,-153.9384874,8.836498541,-0.30550493,Transit,Transit,Transit,77,31
4041,-255.4418845,-164.2322405,11.37123154,-0.542753902,Transit,Transit,Transit,77,31
4042,-255.910875,-169.1237726,4.913963605,-0.534425662,Transit,Transit,Transit,77,31
4043,-255.4750843,-175.0873101,5.979439249,0.168532086,Transit,Transit,Transit,77,31
4044,-256.5027899,-183.1111746,8.08941158,-0.200333768,Transit,Transit,Transit,77,31
4045,-254.5447068,-189.8409009,7.008802036,0.410530537,Transit,Transit,Transit,77,31
4046,-261.9645526,-182.6750013,10.31524256,-2.621928663,Transit,Transit,Transit,77,31
4047,-267.7174226,-173.1253034,11.14864317,-0.260614492,Transit,Transit,Transit,77,31
4048,-267.3738389,-162.5684174,10.56247561,-0.574726928,Transit,Transit,Transit,77,31
4049,-270.8380898,-160.1793666,4.208158511,0.999598607,Transit,Transit,Transit,77,31
4050,-277.5704592,-148.0742429,13.85131099,-0.459504914,Transit,Transit,Transit,77,31
4051,-281.1432946,-142.1262196,6.938597434,0.033357246,Transit,Transit,Transit,77,31
4052,-288.1143499,-131.737886,12.51051902,0.050112198,Transit,Transit,Transit,77,31
4053,-296.3951712,-121.6107696,13.08168522,0.094404931,Transit,Transit,Transit,77,31
4054,-309.3362014,-115.3176137,14.39006858,0.432739234,Transit,Transit,Transit,77,31
4055,-321.0898869,-109.8082165,12.98085439,0.01429688,Transit,Transit,Transit,77,31
4056,-329.7087065,-110.2251756,8.62889953,0.486666652,Transit,Transit,Transit,77,31
4057,-343.4642081,-109.6425181,13.76783618,-0.090672895,Transit,Transit,Transit,77,31
4058,-358.5395485,-105.5941658,15.6094537,-0.220018966,Transit,Transit,Transit,77,31
4059,-368.9515656,-111.4843506,11.96262421,0.777176562,Transit,Transit,Transit,77,31
4060,-376.3461884,-114.1425243,7.857883514,-0.169735016,Transit,Transit,Transit,77,31
4061,-382.4575297,-116.3990317,6.514623372,0.008615153,Transit,Transit,Transit,77,31
4062,-378.2546331,-123.8685622,8.570777405,1.729611624,Transit,Transit,Transit,77,31
4063,-374.4950463,-131.924275,8.889825706,-0.075867125,Transit,Transit,Transit,77,31
4064,-367.5106255,-147.8670705,17.40559859,-0.023745336,Transit,Transit,Transit,77,31
4065,-366.3554361,-152.0692985,4.358116879,-0.144635172,Transit,Transit,Transit,77,31
4066,-367.0875577,-158.856415,6.826489023,-0.375726393,Transit,Transit,Transit,77,31
4067,-369.378356,-170.5321891,11.89838044,-0.086286169,Transit,Transit,Transit,77,31
4068,-361.4752932,-182.1012069,14.01073071,0.793049126,Transit,Transit,Transit,77,31
4069,-357.6438537,-190.2300792,8.986572996,-0.158853581,Transit,Transit,Transit,77,31
4070,-368.0419596,-196.488633,12.13631339,-1.469441153,Transit,Transit,Transit,77,31
4071,-377.7227322,-203.2754116,11.82276288,0.069624644,Transit,Transit,Transit,77,31
4072,-386.4487482,-208.7511606,10.30180478,-0.05102601,Transit,Transit,Transit,77,31
4073,-392.1619293,-209.5456011,5.768151742,-0.422241364,Transit,Transit,Transit,77,31
