"id","bin","behav","prop","param"
"5_2",7,"3",0.0458722161669367,"Turning Angle"
"5_2",8,"3",0.406855027795398,"Turning Angle"
"1_3",1,"1",0.0209657709016888,"Step Length"
"1_3",2,"1",0.247789796419665,"Step Length"
"1_3",3,"1",0.612852003646231,"Step Length"
"1_3",4,"1",0.0858326729802312,"Step Length"
"1_3",5,"1",0.0325597560521834,"Step Length"
"1_3",1,"2",0.582465351040872,"Step Length"
"1_3",2,"2",0.365193644672436,"Step Length"
"1_3",3,"2",0.000320380199166891,"Step Length"
"1_3",4,"2",0.0243253374697706,"Step Length"
"1_3",5,"2",0.027695286617754,"Step Length"
"1_3",1,"3",0.000173450887276241,"Step Length"
"1_3",2,"3",0.000140960310254519,"Step Length"
"1_3",3,"3",0.00286188315321529,"Step Length"
"1_3",4,"3",0.558753541263885,"Step Length"
"1_3",5,"3",0.438070164385369,"Step Length"
"1_3",1,"1",0.127002838217985,"Turning Angle"
"1_3",2,"1",0.113538329780019,"Turning Angle"
"1_3",3,"1",0.108946441476831,"Turning Angle"
"1_3",4,"1",0.16237960441912,"Turning Angle"
"1_3",5,"1",0.141682397073994,"Turning Angle"
"1_3",6,"1",0.112629611598771,"Turning Angle"
"1_3",7,"1",0.112676163647644,"Turning Angle"
"1_3",8,"1",0.121144613785635,"Turning Angle"
"1_3",1,"2",0.436646227178214,"Turning Angle"
"1_3",2,"2",0.0411298637755908,"Turning Angle"
"1_3",3,"2",0.00815230944976925,"Turning Angle"
"1_3",4,"2",0.02119515458032,"Turning Angle"
"1_3",5,"2",0.0196988055469967,"Turning Angle"
"1_3",6,"2",0.00441022762342979,"Turning Angle"
"1_3",7,"2",0.0366715248850445,"Turning Angle"
"1_3",8,"2",0.432095886960635,"Turning Angle"
"1_3",1,"3",0.000809570727927512,"Turning Angle"
"1_3",2,"3",0.0155703079750978,"Turning Angle"
"1_3",3,"3",0.0460043941210687,"Turning Angle"
"1_3",4,"3",0.437202593806412,"Turning Angle"
"1_3",5,"3",0.427140825748299,"Turning Angle"
"1_3",6,"3",0.0578822848170287,"Turning Angle"
"1_3",7,"3",0.0141124236267138,"Turning Angle"
"1_3",8,"3",0.00127759917745299,"Turning Angle"
"2_3",1,"1",0.0309971708589262,"Step Length"
"2_3",2,"1",0.226946642508388,"Step Length"
"2_3",3,"1",0.614597070221286,"Step Length"
"2_3",4,"1",0.0911409787449773,"Step Length"
"2_3",5,"1",0.036318137666422,"Step Length"
"2_3",1,"2",0.612688832188879,"Step Length"
"2_3",2,"2",0.384775934606765,"Step Length"
"2_3",3,"2",0.000100716847148222,"Step Length"
"2_3",4,"2",0.00222733832009004,"Step Length"
"2_3",5,"2",0.000207178037118029,"Step Length"
"2_3",1,"3",0.00015095788173836,"Step Length"
"2_3",2,"3",0.000162438248025861,"Step Length"
"2_3",3,"3",0.00375292747459828,"Step Length"
"2_3",4,"3",0.567885257880197,"Step Length"
"2_3",5,"3",0.428048418515441,"Step Length"
"2_3",1,"1",0.127870815044492,"Turning Angle"
"2_3",2,"1",0.104300612014021,"Turning Angle"
"2_3",3,"1",0.112973201893157,"Turning Angle"
"2_3",4,"1",0.146753831857523,"Turning Angle"
"2_3",5,"1",0.147538015223206,"Turning Angle"
"2_3",6,"1",0.120349611601873,"Turning Angle"
"2_3",7,"1",0.107145243255457,"Turning Angle"
"2_3",8,"1",0.133068669110271,"Turning Angle"
"2_3",1,"2",0.436621577459149,"Turning Angle"
"2_3",2,"2",0.0405820845186507,"Turning Angle"
"2_3",3,"2",0.0080424665506068,"Turning Angle"
"2_3",4,"2",0.000207355787808979,"Turning Angle"
"2_3",5,"2",0.00152652508577821,"Turning Angle"
"2_3",6,"2",0.00692559020196286,"Turning Angle"
"2_3",7,"2",0.037669347322425,"Turning Angle"
"2_3",8,"2",0.468425053073618,"Turning Angle"
"2_3",1,"3",0.00243994779806999,"Turning Angle"
"2_3",2,"3",0.0203490955609124,"Turning Angle"
"2_3",3,"3",0.0387357034346772,"Turning Angle"
"2_3",4,"3",0.4451549289001,"Turning Angle"
"2_3",5,"3",0.436902284243639,"Turning Angle"
"2_3",6,"3",0.0428886129168041,"Turning Angle"
"2_3",7,"3",0.00981056583938657,"Turning Angle"
"2_3",8,"3",0.0037188613064104,"Turning Angle"
"3_3",1,"1",0.0394997263640952,"Step Length"
"3_3",2,"1",0.240340951421543,"Step Length"
"3_3",3,"1",0.592880398498024,"Step Length"
"3_3",4,"1",0.093852597847799,"Step Length"
"3_3",5,"1",0.0334263258685386,"Step Length"
"3_3",1,"2",0.57752415168568,"Step Length"
"3_3",2,"2",0.362615777949544,"Step Length"
"3_3",3,"2",0.0010824076760701,"Step Length"
"3_3",4,"2",0.028765501350393,"Step Length"
"3_3",5,"2",0.0300121613383123,"Step Length"
"3_3",1,"3",0.000218712977135437,"Step Length"
"3_3",2,"3",0.000108151770616529,"Step Length"
"3_3",3,"3",0.00246931616782769,"Step Length"
"3_3",4,"3",0.558728339645515,"Step Length"
"3_3",5,"3",0.438475479438905,"Step Length"
"3_3",1,"1",0.127604539886529,"Turning Angle"
"3_3",2,"1",0.113395330523733,"Turning Angle"
"3_3",3,"1",0.110528959434973,"Turning Angle"
"3_3",4,"1",0.13838109251793,"Turning Angle"
"3_3",5,"1",0.149333711363034,"Turning Angle"
"3_3",6,"1",0.108692007352899,"Turning Angle"
"3_3",7,"1",0.116532106776324,"Turning Angle"
"3_3",8,"1",0.135532252144578,"Turning Angle"
"3_3",1,"2",0.432832413672323,"Turning Angle"
"3_3",2,"2",0.0371008362466211,"Turning Angle"
"3_3",3,"2",0.00323178666277703,"Turning Angle"
"3_3",4,"2",0.0321054288683528,"Turning Angle"
"3_3",5,"2",0.0205045266027154,"Turning Angle"
"3_3",6,"2",0.00912304609756244,"Turning Angle"
"3_3",7,"2",0.0315574646192055,"Turning Angle"
"3_3",8,"2",0.433544497230443,"Turning Angle"
"3_3",1,"3",0.000736581705124559,"Turning Angle"
"3_3",2,"3",0.0174236956905561,"Turning Angle"
"3_3",3,"3",0.0551366044879915,"Turning Angle"
"3_3",4,"3",0.451184253569044,"Turning Angle"
"3_3",5,"3",0.420123557282206,"Turning Angle"
"3_3",6,"3",0.0444656537225631,"Turning Angle"
"3_3",7,"3",0.0101943679724499,"Turning Angle"
"3_3",8,"3",0.000735285570065134,"Turning Angle"
"4_3",1,"1",0.451412135713742,"Step Length"
"4_3",2,"1",0.338553914049381,"Step Length"
"4_3",3,"1",0.122605767411924,"Step Length"
"4_3",4,"1",0.0532349962934356,"Step Length"
"4_3",5,"1",0.0341931865315176,"Step Length"
"4_3",1,"2",0.000335849988890374,"Step Length"
"4_3",2,"2",0.226652160677045,"Step Length"
"4_3",3,"2",0.672688597434331,"Step Length"
"4_3",4,"2",0.0802749741821703,"Step Length"
"4_3",5,"2",0.0200484177175632,"Step Length"
"4_3",1,"3",0.000162075681923981,"Step Length"
"4_3",2,"3",0.000141622856706108,"Step Length"
"4_3",3,"3",0.00412699043713135,"Step Length"
"4_3",4,"3",0.575071181993571,"Step Length"
